采样时间：2026-05-30 12:13:15
采样频率：5120Hz
测点描述	<未描述>	<未描述>	<未描述>	
time[s]	AI1-1 [Pa]	AI1-2 [Pa]	AI1-3 [Pa]	
0.08984	24.84207	29.29777	229.07193	
0.09004	-100.4059	235.48082	123.72204	
0.09023	-63.78368	184.63698	-85.14664	
0.09043	-1.52593	111.57567	241.40141	
0.09063	-76.41835	332.40759	340.83072	
0.09082	-48.89065	454.66476	274.97177	
0.09102	136.72292	480.66653	437.4523	
0.09121	171.45299	443.86121	386.12018	
0.09141	180.3644	467.84875	438.24579	
0.0916	301.27872	505.69171	516.55627	
0.0918	385.75397	504.95926	684.53015	
0.09199	367.87012	551.77466	815.27148	
0.09219	145.81744	617.93878	778.5882	
0.09238	372.32581	671.83447	748.68005	
0.09258	655.04932	705.89313	677.38885	
0.09277	591.5708	702.35297	589.73969	
0.09297	577.28815	608.29492	497.63483	
0.09316	500.68668	478.46918	412.91544	
0.09336	405.83514	312.08228	395.15366	
0.09355	425.42801	176.03076	383.1904	
0.09375	520.52368	131.22958	456.80106	
0.09395	560.38086	106.75375	466.20074	
0.09414	578.32574	133.48796	255.13474	
0.09434	601.58087	184.63698	356.151	
0.09453	611.71301	263.06955	553.3006	
0.09473	625.20221	414.38031	531.38831	
0.09492	621.72308	487.25851	497.02444	
0.09512	593.70709	441.96906	420.85025	
0.09531	597.18622	409.43631	383.31247	
0.09551	591.20459	452.40637	347.84998	
0.0957	511.79541	532.85315	337.96198	
0.0959	533.15839	586.44366	369.6402	
0.09609	570.69611	636.86023	334.66599	
0.09629	521.01202	627.46057	225.40971	
0.09648	485.24429	560.99121	152.47047	
0.09668	431.1655	512.16162	105.04471	
0.09688	455.8855	494.03363	92.41005	
0.09707	428.72403	505.02029	194.52498	
0.09727	422.98654	502.94504	180.42543	
0.09746	533.89081	511.6123	181.58513	
0.09766	576.98291	501.05289	254.4023	
0.09785	610.91949	492.20251	171.57506	
0.09805	616.29077	482.74179	192.57179	
0.09824	683.49255	500.38147	296.51785	
0.09844	678.30438	546.52545	231.94067	
0.09863	567.03394	529.31305	273.81207	
0.09883	564.65344	508.62149	350.84079	
0.09902	613.8493	489.2117	264.16821	
0.09922	648.51831	488.47925	241.21829	
0.09941	577.04401	481.82623	110.04974	
0.09961	406.7507	431.40964	0.79348	
0.0998	233.52763	342.66183	-13.8554	
0.1	33.50932	198.12616	-160.1001	
0.1002	-111.4536	135.44115	-164.18958	
0.10039	55.60472	202.09357	-89.17509	
0.10059	239.75342	293.52704	-113.71197	
0.10078	245.97919	284.85977	-149.84589	
0.10098	394.72641	216.49831	2.07526	
0.10117	475.11215	310.6174	171.45299	
0.10137	437.5744	480.7886	123.47789	
0.10156	305.85651	577.28815	123.90515	
0.10176	-2.68563	635.15125	153.69121	
0.10195	82.7662	649.86115	87.03879	
0.10215	330.75961	647.72485	17.88385	
0.10234	303.41501	625.50739	-106.26545	
0.10254	460.15808	536.75952	-85.5739	
0.10273	561.05231	460.34119	10.74252	
0.10293	459.18149	398.63278	-52.61391	
0.10312	454.66476	349.62006	-32.22755	
0.10332	421.82684	326.85324	-58.41243	
0.10352	312.44849	265.32791	-48.6465	
0.10371	208.25832	232.18481	-86.79464	
0.10391	254.52437	204.96231	-182.86691	
0.1041	331.36996	192.93802	-197.75995	
0.1043	413.15958	257.94244	-247.74925	
0.10449	579.1803	365.8559	-172.85684	
0.10469	706.74762	422.19305	-90.63998	
0.10488	776.94019	406.5676	-35.46251	
0.10508	847.62109	432.26416	-1.95318	
0.10527	777.36749	467.97083	11.536	
0.10547	781.02972	459.91394	-50.23347	
